gene	module
KLC4	brown
NETO2	turquoise
CEP162	turquoise
TUSC2	red
HCG18	brown
DIPK2A	turquoise
PYCARD	turquoise
SLC38A1	brown
AGO4	turquoise
TNRC6C	brown
TXNDC11	turquoise
RBM4B	red
NCK2	blue
EIF1B-AS1	brown
METTL21A	turquoise
ZNF564	yellow
ZMYM1	blue
DUSP22	lightcyan
TTC5	brown
NKRF	brown
ASL	turquoise
PVT1	blue
PRPS2	greenyellow
TNFSF12	blue
AC109587.1	brown
RNF14	yellow
SLC35D2	yellow
ZNF264	blue
RARG	blue
ZDHHC18	blue
SRD5A1	lightcyan
NAXD	blue
RGPD8	brown
LIX1L-AS1	brown
MRPL35	blue
MYBBP1A	brown
TRIM52	brown
TTPAL	yellow
ZNF639	yellow
C20orf194	green
PPAT	brown
SYNE1	yellow
METTL8	salmon
SIDT2	turquoise
TDP1	black
CCDC92	blue
AC245407.2	yellow
GBA2	turquoise
TMEM117	brown
IFIH1	turquoise
LINC00476	pink
LINC01089	blue
CD84	blue
C11orf65	yellow
LINC00910	turquoise
ELOF1	black
TCEAL8	red
C16orf91	blue
CARD14	blue
ELF4	lightgreen
NPC1	cyan
TFB2M	red
ADORA2A	blue
MAP3K7CL	turquoise
ERAP2	brown
IDH1	turquoise
ZNF569	brown
MGME1	black
GNE	brown
MAGED2	blue
AC005261.1	pink
SCAI	brown
CACTIN	yellow
BBS2	blue
SYPL1	greenyellow
ZNF844	blue
SSH1	turquoise
FBH1	pink
SPART	turquoise
GPN1	magenta
UAP1	yellow
TPCN1	turquoise
TBC1D7	turquoise
OCIAD2	blue
PHF5A	blue
INPP5A	brown
AC139530.1	black
AC022210.2	yellow
ATP2A3	salmon
IQCH-AS1	brown
C15orf40	midnightblue
GABARAPL1	turquoise
TPRKB	blue
BRPF1	turquoise
ARHGAP10	brown
PPP1R9B	turquoise
STRADB	blue
SYNJ2BP	blue
TMEM238	blue
THAP6	blue
GMEB1	lightgreen
SFT2D1	turquoise
ACOX1	turquoise
RPUSD1	turquoise
MAN2B1	lightcyan
MARCH3	blue
ANGPT2	midnightblue
AC025682.1	yellow
STK38L	turquoise
CYB5R4	turquoise
ALG3	red
TXN	turquoise
CIC	turquoise
ZNF142	pink
MGAT2	turquoise
RBFOX2	brown
TPMT	turquoise
ELMOD2	lightgreen
CBX6	green
HSP90B1	magenta
TMEM68	greenyellow
TMEM107	turquoise
ARID5B	brown
KIF16B	blue
CBX7	brown
LRIF1	pink
ABHD14A	yellow
PITPNA	turquoise
PRR7	brown
STK26	brown
DHRS7B	lightgreen
GOT2	brown
ACOT8	green
GNG10	green
LYAR	yellow
ZNF518B	black
FAM185A	blue
CNNM4	turquoise
NIPAL3	brown
PRKCH	blue
ZFP14	magenta
PRDX2	blue
KLF9	brown
PWWP3A	black
PAQR3	magenta
TNRC18	turquoise
RPIA	blue
SLC52A2	red
COTL1	turquoise
TMEM167B	green
CCDC88B	turquoise
IFT172	brown
WDR19	pink
TMLHE-AS1	midnightblue
CAPN15	pink
HSD17B12	lightcyan
LGALS1	turquoise
SRM	pink
SRGAP2C	green
C16orf70	turquoise
NFU1	brown
AC092944.1	blue
LYST	turquoise
SMIM20	green
AL031772.1	midnightblue
YEATS4	blue
UBR7	brown
PRDM10	turquoise
ZBTB37	brown
APOBEC3D	pink
GTPBP3	brown
AC092338.3	blue
TNFRSF10B	turquoise
RAPH1	magenta
CTBP1-DT	blue
ZNF317	pink
DOT1L	turquoise
SLC46A3	magenta
RAB40C	turquoise
SKA2	red
GTPBP10	brown
ZMPSTE24	brown
AC009690.2	magenta
CCDC138	greenyellow
PGPEP1	brown
NOL4L	brown
TVP23C	grey60
TIMM22	magenta
SLC12A9	turquoise
LAMTOR2	turquoise
AC245297.3	yellow
NSMF	turquoise
IPP	yellow
RDH14	midnightblue
ASTE1	yellow
ATG16L2	turquoise
BIN1	brown
PLEKHA7	yellow
DDX31	brown
SEC22C	black
NAPRT	turquoise
ZNF770	magenta
ZMAT3	blue
ATG16L1	black
ZNF322	tan
OXCT1	brown
TAPT1-AS1	greenyellow
PRR3	yellow
EPM2A	black
NIP7	red
HAUS8	brown
PPP1R16B	brown
AC007780.1	purple
DENND10	turquoise
ANKRD23	brown
ATP11A	turquoise
SLC25A37	turquoise
ACSL5	turquoise
UBXN2A	black
STRN4	turquoise
UTP4	black
MRTFB	midnightblue
PROCR	pink
FBXL14	blue
CDC42EP3	blue
RAB11FIP3	brown
KPNA5	midnightblue
ERN1	pink
PKP4	turquoise
DTWD2	midnightblue
TEP1	turquoise
ZNF678	brown
FAM217A	blue
MRPS22	blue
TRAK1	lightcyan
NUSAP1	turquoise
ZNF557	black
NAB1	purple
LINC00909	pink
BBS4	blue
AC009061.2	black
GYG1	turquoise
FAM120C	brown
FANCD2	salmon
POMGNT1	tan
MED8	red
ABCC4	brown
RBSN	black
RABL2A	pink
GALNT11	blue
EHMT2	brown
PFKFB3	turquoise
FIBP	turquoise
MRPS2	grey60
GYS1	yellow
HGS	yellow
MLLT6	blue
DENND11	midnightblue
MRPL28	red
ZNF529	brown
AIMP2	turquoise
SPRYD3	turquoise
ZNF585A	blue
AC018816.1	black
STAM	blue
FAM13A	turquoise
TET2	turquoise
C2orf49	yellow
PITPNA-AS1	pink
RFC3	greenyellow
CMC1	black
LIG1	brown
ULK1	turquoise
SLC20A1	green
AC006059.1	brown
IRAK1BP1	brown
MTF1	purple
UBASH3B	blue
VARS	turquoise
ZNF718	black
ZNF345	tan
PTDSS2	red
G2E3-AS1	magenta
DUSP18	turquoise
ELOVL1	green
AC015971.1	greenyellow
MZT1	blue
AREG	blue
NMRK1	brown
TAF1C	yellow
TSR2	midnightblue
CGRRF1	brown
TASP1	black
TPM1	yellow
AC245060.5	green
AC005726.1	turquoise
SYNGR2	turquoise
GIMAP2	blue
CARD16	turquoise
ARHGAP17	turquoise
TTC39C	blue
PCYOX1	magenta
METTL5	brown
PET117	yellow
DYRK4	red
MARCH2	turquoise
LINC00278	turquoise
TMEM63A	greenyellow
NAGPA	turquoise
POLL	turquoise
RNF125	blue
PIGX	purple
STK25	cyan
GPD2	green
SEPTIN1	brown
GMFB	green
ARL2	brown
GOLPH3L	brown
TBK1	turquoise
ZBTB43	purple
ACAP3	turquoise
UEVLD	turquoise
LINC01184	black
ALKBH8	blue
SMCR8	green
FKBP4	magenta
ABCC10	yellow
GPR89A	tan
TXNRD2	purple
UPP1	turquoise
KIAA0586	blue
CHP1	turquoise
WDR3	blue
AC068533.3	magenta
ALAD	black
XKR6	brown
NSUN6	brown
SLC25A11	turquoise
HLA-F-AS1	brown
DIP2A	blue
SAMM50	red
PEX7	midnightblue
ANKRD42	blue
AP005899.1	midnightblue
IMMP1L	midnightblue
EHBP1L1	turquoise
AC046134.2	greenyellow
RUNX3	blue
TAB1	blue
FOXJ2	turquoise
AC010642.2	black
GABBR1	turquoise
DHX37	brown
AL356599.1	magenta
SLC4A2	turquoise
ZNF281	turquoise
LEPROTL1	blue
S100A11	turquoise
CNNM2	blue
BCLAF3	black
CTSS	turquoise
GSTCD	brown
ABR	green
ZHX1	red
ZPR1	purple
RBM15B	brown
RIOK1	brown
RGPD5	blue
YIF1B	turquoise
SPCS3	magenta
PHF23	turquoise
C12orf65	brown
MFSD6	yellow
CARF	brown
ZNF680	yellow
RCL1	brown
RCN1	lightgreen
HIRIP3	blue
FAN1	black
ZNF552	yellow
F8A1	red
GIMAP7	blue
RALGDS	blue
POLE	brown
AL049840.2	magenta
TCTEX1D2	pink
HPS5	turquoise
MRPS23	magenta
ATIC	brown
FHIT	blue
BOLA1	yellow
GPR89B	blue
LMBRD2	blue
ZNRD2	magenta
AL157938.2	magenta
TSPAN32	yellow
MTMR2	brown
EIF4ENIF1	red
INTS4	black
MAP7D3	pink
MEPCE	turquoise
AMMECR1	black
NCAPH2	brown
CDKN2D	black
PDCL	red
AC004687.1	turquoise
TSPOAP1-AS1	yellow
HMCES	blue
RANGRF	blue
AASDHPPT	red
ANXA6	brown
RUNDC1	salmon
TGIF1	purple
CLEC2D	brown
ZNF140	greenyellow
CCDC125	green
CEP290	yellow
IFFO1	turquoise
AC131568.1	blue
CPD	turquoise
RABGGTA	turquoise
OSBPL11	turquoise
CTSD	turquoise
ZNF37A	blue
PAX8-AS1	lightgreen
PPME1	yellow
ULK3	yellow
WDR77	magenta
SLC66A2	green
LINC01376	brown
ZNF780B	pink
HIF1A-AS3	purple
TBCC	brown
ABRAXAS1	yellow
SEPTIN11	magenta
AC087854.1	brown
LINC01841	pink
TMTC3	blue
SETD1B	blue
AC011603.2	pink
PMM1	blue
KLHDC4	yellow
AC092821.3	brown
HMGA1	magenta
FILIP1L	midnightblue
CISD3	yellow
ADAT1	yellow
MRPL47	blue
UXS1	blue
DCPS	red
ZNF736	greenyellow
RANBP3	blue
ZNF212	black
PCED1B-AS1	blue
CUBN	greenyellow
AC092652.1	blue
AC100810.1	brown
AC005695.2	blue
URB1	brown
GRPEL1	blue
PSTK	blue
SDHAF1	yellow
UBAC1	turquoise
ZBED1	green
AC079447.1	blue
RIN3	turquoise
DMAC2	red
NUP43	tan
TSEN34	turquoise
CSRP1	turquoise
LRP5L	turquoise
PCED1B	brown
USP11	brown
UPK3BL1	turquoise
SDCBP2-AS1	blue
E2F4	turquoise
ISCA1	brown
ESRRA	turquoise
SHFL	yellow
NPAT	blue
GRHPR	red
TMEM181	blue
POLRMT	brown
RHOT2	pink
SRSF8	midnightblue
PLIN3	green
PLCG2	pink
REC8	green
DENND6B	turquoise
LRRC59	turquoise
ITPK1	turquoise
COLGALT1	turquoise
TMED9	red
TELO2	turquoise
UTP3	green
DCAKD	brown
AHCY	turquoise
LIN7C	pink
DBT	brown
DDHD2	brown
NDE1	yellow
RNF121	brown
ZNF598	yellow
EI24	red
HEIH	purple
ABCF3	pink
BET1	brown
CEP68	greenyellow
MAP2K3	turquoise
ARL5B	turquoise
ZNF224	brown
UTP25	brown
NUP35	blue
PTPN4	blue
ZNF384	blue
LANCL2	lightgreen
BTN3A2	brown
GXYLT1	blue
POMT1	yellow
ERLIN2	green
PACRGL	pink
EID2	midnightblue
MEN1	brown
LINC02649	turquoise
APOO	turquoise
MLF2	green
PAXX	pink
AL021707.1	brown
PXN	blue
CDK9	turquoise
CBLL1	pink
ANXA2	turquoise
PAICS	midnightblue
AP002812.2	blue
ADCY9	turquoise
PIM2	brown
OFD1	black
CTSC	turquoise
AL035530.2	blue
APOL6	blue
TMEM120A	purple
ARNTL	blue
BRI3	turquoise
DAB1	yellow
CCDC97	blue
TRIM59	grey60
CC2D2A	purple
AC044849.1	blue
MEA1	red
YIPF1	turquoise
JAZF1	turquoise
GGA2	black
ARMC2	brown
PCCB	red
TMEM243	blue
BRIX1	blue
SEMA6A-AS1	black
ATP6V0D1	turquoise
RBL1	brown
PPARA	yellow
KLF7	turquoise
PTER	brown
NEU3	purple
PHPT1	red
LTO1	brown
RBM28	black
TFDP1	black
NXF1	turquoise
AKR7A2	magenta
PPP4R1	turquoise
DTX3L	yellow
NUAK2	turquoise
USP5	red
TUBGCP5	brown
MPI	blue
PHF1	yellow
LINC00685	yellow
SYNJ1	turquoise
CPSF7	turquoise
TPRG1L	magenta
MINK1	turquoise
ATP6V1E2	brown
TSC2	blue
CDC34	yellow
MIRLET7BHG	purple
SHC1	red
AC008443.1	greenyellow
RPA1	black
CEMIP	blue
HAUS3	brown
FAM135A	turquoise
GLMN	brown
SLC25A33	turquoise
DXO	black
ZBTB10	brown
LIAS	brown
POLM	pink
TECPR2	purple
MTPAP	brown
ATP2B4	blue
PTTG1IP	turquoise
PDE4B	turquoise
RNASEH1	tan
RPE	green
AP2A1	turquoise
SIRT5	magenta
TRNT1	pink
RAD52	blue
B3GNT2	midnightblue
PIGK	brown
PKNOX1	blue
ZNF514	pink
ZNF235	greenyellow
NOD1	magenta
CCDC191	brown
EPN1	turquoise
DYNLL2	yellow
ACVR1	blue
SIRT3	pink
HOMER1	brown
LRRC69	black
KRBOX4	black
GGCT	magenta
ZNF266	pink
NXPE3	tan
RAB1B	lightgreen
ATG3	turquoise
PUS1	yellow
LINC01138	yellow
TIMM29	red
AGPAT4	turquoise
AC027018.1	magenta
PABPC4	turquoise
FGGY	yellow
AL121944.1	brown
ZNF414	black
TSEN15	red
SCRN3	brown
FAM215B	blue
SLC25A39	yellow
NUBP1	green
BAZ2B	turquoise
NUP37	salmon
CCSER2	blue
TMEM154	turquoise
RASAL3	brown
SNX2	turquoise
FAM53B	lightgreen
POLD2	greenyellow
MED12	pink
ZNF493	brown
FOXO3	turquoise
TMEM267	black
APAF1	turquoise
MRNIP	black
RNF123	pink
LPGAT1	turquoise
C3orf35	brown
TBC1D32	brown
PELI2	turquoise
ID2	turquoise
TMED2	red
JPT2	black
PDE5A	greenyellow
HSPA14.1	blue
TRIM62	brown
USP9Y	brown
PRDX3	green
DISP1	black
TRIM73	blue
CNPY4	pink
OAT	yellow
SIGMAR1	blue
ZFAND4	blue
H2AFY	turquoise
AL022097.1	brown
DOK2	turquoise
AHR	turquoise
RBFA	pink
NUDCD1	tan
KMT5A	pink
PAPOLG	blue
ALG6	brown
SMPD1	blue
TRIM41	brown
PFKP	brown
ASNSD1	magenta
MYCBP	red
DDX60L	turquoise
SNAPC1	blue
GSTP1	turquoise
DOCK7	green
SNAI3	blue
GIMAP1	blue
PARP14	turquoise
AL391839.1	blue
PYCR2	midnightblue
TSPAN31	magenta
CCDC186	brown
CPEB4	turquoise
PEAK1	purple
ING2	blue
ZNF420	yellow
LRRC40	brown
TRADD	blue
RBM18	black
TMEM70	red
MDM1	salmon
D2HGDH	blue
PGS1	turquoise
SLC35E2A	black
ATF1	black
ZYX	turquoise
TSHZ1	magenta
HERC5	pink
AC083798.2	greenyellow
PSAP	turquoise
FH	red
CINP	purple
WDR18	red
TAF13	turquoise
SMDT1	red
HELB	blue
CETN2	turquoise
NNT-AS1	blue
SLC12A2	brown
ARHGAP5	black
AC079921.1	green
EBNA1BP2	red
MAPKBP1	black
HAUS1	brown
AFG1L	turquoise
MTMR1	black
TMED1	red
KIAA1191	black
BTBD11	blue
FARP2	turquoise
AC124014.1	blue
AKIRIN2	turquoise
ZNF267	turquoise
AC025159.1	black
CALCOCO1	grey60
CARD19	turquoise
WDR4	yellow
AC022973.3	turquoise
LNX2	brown
RBM48	brown
NKIRAS2	turquoise
RAD51D	brown
SGF29	black
C2orf74	red
TMEM223	grey60
CNPY3	turquoise
WBP2NL	turquoise
PPM1M	red
HLTF	pink
ZNF524	turquoise
CYB5R3	green
CTPS2	midnightblue
CD74	lightcyan
SOCS7	tan
RNLS	brown
GATB	magenta
CCNT2-AS1	brown
MDM2	lightgreen
CPSF3	turquoise
ZHX3	brown
AKAP7	yellow
MYH10	brown
RBMX2	blue
PSMB5	magenta
ANKDD1A	turquoise
ZNF787	green
SEH1L	brown
SMIM13	green
CMTM6	turquoise
MPC1	turquoise
RAB3IP	blue
PCNT	pink
DCTN6	red
KCNQ1	turquoise
CASS4	brown
DTNB	brown
CENPX	blue
RUFY3	lightcyan
ADAT2	brown
MRPL46	brown
FLAD1	yellow
PPP2R3A	brown
PRCP	turquoise
AP3M1	pink
PARP1	red
IQCN	blue
AP5Z1	turquoise
INTS12	tan
SNX11	blue
ATP8A1	brown
MRPL21	blue
UBAP1	turquoise
COPG1	turquoise
MCTS1	green
DANCR	pink
LINC01473	blue
DNAJC24	black
DFFA	magenta
S100A8	turquoise
AL139807.1	purple
AASDH	blue
CCDC157	blue
LNPK	black
GPATCH1	brown
CFAP97	yellow
GPN3	red
NAT10	blue
RCE1	red
AK6	brown
SOCS3	blue
ZNF43	black
PGRMC2	midnightblue
PPIL3	yellow
SNHG19	black
TOP3B	brown
IL6ST	blue
MED24	blue
KDELR1	turquoise
TERF2	magenta
STYX	blue
SVIL	turquoise
LIX1L	blue
ALMS1	brown
MOAP1	blue
POLR3A	blue
ACTR6	blue
ZNF10	greenyellow
GCN1	brown
ARSA	turquoise
PDE12	yellow
KMT2B	blue
SMS	turquoise
EXOG	brown
C17orf67	yellow
RAD9A	brown
RAD1	blue
PPRC1	black
TNPO2	brown
VSIR	turquoise
THOC6	turquoise
DHRS12	yellow
RBM41	pink
PPP3CB-AS1	turquoise
PDE3B	yellow
AC024145.1	midnightblue
CRTC2	yellow
STPG4	lightcyan
CCDC171	brown
PUS10	turquoise
SIGIRR	yellow
ADI1	green
GTF2IRD2B	yellow
COPS7A	red
TTC33	blue
MIR4435-2HG	green
NAPEPLD	black
AP000442.1	brown
TNFSF8	blue
GATD3B	green
USE1	brown
WDR91	turquoise
SLC25A43	turquoise
AARSD1	black
PRKY	blue
SLC35A4	purple
GMCL1	blue
CYP2R1	brown
C11orf49	brown
DDX58	brown
RFT1	tan
DAGLB	turquoise
GPKOW	yellow
HINFP	yellow
VASP	purple
AC005786.3	purple
TWSG1	black
PGRMC1	red
UBIAD1	brown
E2F3	turquoise
NAA16	yellow
NUMB	turquoise
GTDC1	blue
ZNF709	brown
SEC24D	turquoise
CASP3	red
RRAGB	black
DCAF17	brown
ZNF335	yellow
DPEP2	turquoise
CIAO3	brown
FPGT	purple
VPS37B	blue
L3MBTL1	black
RNF146	lightgreen
FBXL5	turquoise
ARHGAP26	turquoise
SFXN3	turquoise
MEF2B	green
CEP83	greenyellow
ANTXR2	turquoise
PPP2R1B	black
NR4A1	turquoise
FASTKD2	black
PRRC1	tan
ABCB10	blue
IFI35	purple
INPP5F	turquoise
ANKRD49	yellow
PBDC1	blue
TALDO1	turquoise
PIGS	green
AGO1	turquoise
OGFOD1	blue
GPR65	yellow
SLC2A13	turquoise
TBP	pink
ARAP2	cyan
AC007038.1	black
CTSA	turquoise
TMEM94	yellow
ZNF790	yellow
SAT1	turquoise
GNL2	turquoise
RWDD4	blue
LIMK2	brown
YRDC	magenta
ARSG	turquoise
COA6	purple
MCUR1	turquoise
ACACB	blue
GYPC	brown
CKS2	blue
STX17-AS1	green
TG	yellow
RECK	magenta
PURA	blue
TMPO	brown
SELENOW	blue
CD81	brown
E4F1	yellow
PPP1R12C	turquoise
ITGB1	cyan
LINC00623	yellow
HTATIP2	blue
TTTY10	turquoise
PSTPIP1	turquoise
PHTF2	black
YWHAH	turquoise
TSFM	red
NFRKB	blue
TARS2	brown
SETD4	pink
ASB7	brown
STX4	turquoise
CTU1	magenta
CEP135	black
PARP10	pink
FAM120AOS	yellow
AP3S2	turquoise
SLC7A6	greenyellow
SNX27	turquoise
LRRC8C	blue
DHX57	turquoise
COMT	turquoise
AC073343.2	blue
CETN3	magenta
CTC1	brown
ZNF41	brown
ALG13-AS1	magenta
TMEM91	turquoise
TARS	blue
KCTD13	yellow
REEP3	blue
MRS2	brown
MGAT1	turquoise
RASA3	blue
SLFN11	turquoise
NFIA	turquoise
SACS	magenta
SLC16A1	blue
AMDHD2	turquoise
KDM5D	brown
SP4	brown
ATP6V1A	green
PCCA	turquoise
C22orf34	blue
CHRNE	yellow
TAF5L	brown
AL139022.1	blue
CIAPIN1	blue
HIST2H2AA4	turquoise
SLC37A1	pink
PRDM4	blue
DDX11	brown
AC012645.3	yellow
PAAF1	red
AP000873.2	blue
TRDMT1	greenyellow
LRRC8B	purple
WWC3	brown
SWT1	tan
PRKAA1	blue
TRAP1	yellow
AL162253.2	black
ARHGEF3	blue
KCTD7	turquoise
RNF103	magenta
PLIN2	turquoise
CENPT	yellow
FAM207A	red
SCRIB	turquoise
VPS25	red
OGFOD3	red
FLYWCH2	blue
DNAJC27	blue
ZNF75A	blue
NFKBIB	purple
PRKACB	brown
PCK2	turquoise
FAM228B	turquoise
IPO11	brown
NUP88	midnightblue
AC003681.1	turquoise
MAGED1	brown
ZNF100	green
RINL	brown
AL606489.1	turquoise
WASHC1	turquoise
BRD8	pink
TM9SF1	turquoise
AC025171.1	brown
FAM234A	turquoise
SYTL1	blue
MBD3	turquoise
TAF8	black
AL078581.4	magenta
FKTN	magenta
SSBP3	blue
FN3KRP	blue
TRIM8	green
NME4	turquoise
DHRS4-AS1	yellow
PIGC	yellow
SLC50A1	pink
ZNF26	pink
INSIG2	brown
HIBCH	tan
GBA	turquoise
TYW5	magenta
CYTH4	turquoise
MRPS14	red
FYCO1	black
SRP68	blue
TARBP1	pink
ISCA2	red
DNAJB1	blue
RIC8B	brown
MBNL3	black
CCDC117	turquoise
TNK2	turquoise
PDE4DIP	blue
NUP93	green
SMARCB1	salmon
KIF2A	brown
ASB16-AS1	blue
FANCC	brown
DNM3	blue
C19orf48	blue
PPP5C	yellow
PEX11B	magenta
SLC2A4RG	yellow
CASK	blue
SH3GLB2	yellow
TMEM141	red
MED25	pink
ALKBH6	blue
IL2RG	brown
NOMO1	red
OMA1	blue
XRRA1	blue
CAMTA2	turquoise
SRFBP1	yellow
CBR3-AS1	yellow
MOSMO	brown
NPTN	purple
CYTOR	cyan
CASP7	red
WDR36	black
GLT8D1	red
TMEM41A	tan
SNHG9	yellow
ACAP1	brown
TEN1	red
FBXO8	yellow
TCF20	brown
TBRG4	brown
PRIMPOL	black
MPP7	brown
BBC3	magenta
ALKBH1	pink
CBR1	turquoise
PLEKHM1	turquoise
PIAS4	purple
C12orf10	turquoise
MCRIP1	lightgreen
FCF1	salmon
AP3S1	green
LAPTM4A	green
SLC9A6	magenta
LYSMD2	blue
FAHD2A	black
NFE2L3	red
KANSL1-AS1	yellow
MON1B	purple
ZNF143	turquoise
EEF2K	brown
FKBP1A	turquoise
STK39	blue
NAT9	turquoise
ZBTB17	blue
BORCS6	red
CNNM3	blue
TMC8	brown
KDSR	magenta
BBS1	brown
TTF1	black
CHD3	yellow
BLOC1S4	brown
BOP1	grey60
CEP152	turquoise
DERL2	tan
SERPINB1	turquoise
LARS2	magenta
SAP30L-AS1	blue
TMEM218	turquoise
CD69	brown
RHOF	blue
TSNARE1	brown
DBF4	brown
SNAP47	brown
CXorf40B	blue
AP1B1	turquoise
NGDN	brown
TP53BP1	blue
RPAP2	brown
HSD17B10	red
TIMM9	red
CRACR2A	brown
AL360091.3	blue
GCFC2	blue
SMYD4	blue
ZNF428	blue
NME9	tan
FAM106A	turquoise
TEX10	tan
VPS11	turquoise
XRCC4	turquoise
HIPK3	turquoise
SS18L2	brown
WDR41	lightcyan
MIS18BP1	turquoise
KCTD9	red
SIAH1	black
POLG	pink
TRMT61B	blue
ZC3HC1	black
PARP11	brown
HMG20A	brown
TBC1D10B	turquoise
TET3	turquoise
LIN37	yellow
ARFIP2	tan
TMED3	red
ZNF565	brown
AC068587.4	blue
ZNF814	black
ABHD2	green
LTB	blue
DGCR6L	brown
GPR155	blue
PHLPP1	turquoise
MARCKSL1	black
DDIT4	red
SINHCAF	tan
PAPSS1	turquoise
SMIM27	yellow
ACTN4	turquoise
AGK	brown
TYK2	turquoise
MBD1	red
TADA2B	brown
DNAJC9	blue
TBC1D25	black
USP40	black
CNBD2	pink
PRKX	blue
EDEM1	lightcyan
FIG4	turquoise
ITPRIP	blue
GPAA1	tan
ABCF2	brown
TRMT2B	blue
SLC16A1-AS1	brown
SNHG12	yellow
NIT1	green
DENND6A-AS1	brown
ACAT2	magenta
TMTC4	turquoise
SCLY	blue
FCHSD2	turquoise
STK17A	brown
AKT3	brown
TTC9C	blue
RCC1	black
IRAK1	turquoise
PPCDC	turquoise
EXOSC3	red
DEPDC5	purple
APOL2	green
GKAP1	brown
ZNF337	yellow
RPS6KA2	turquoise
TTC7A	turquoise
PAN2	yellow
ANKRD13A	turquoise
SLC44A2	brown
C1S	blue
DNAAF2	salmon
P2RX4	turquoise
EBP	pink
POLR1C	brown
TPD52L2	turquoise
AC131571.1	brown
DNAJC16	greenyellow
LIG3	brown
TMEM126A	brown
STXBP2	turquoise
CD63	turquoise
RASSF7	blue
DDX20	yellow
CRAMP1	brown
RMDN3	pink
CCDC85C	midnightblue
ARMC7	lightgreen
HERPUD1	lightcyan
DNTTIP1	turquoise
LY6E	blue
SLC35B1	red
RP9	brown
NOP16	pink
LRRC37B	blue
AF117829.1	turquoise
DISC1	turquoise
ZNF22	pink
DRG2	red
FAM122B	brown
ZNF426	tan
MIGA2	black
TMEM9	turquoise
RPN1	red
UTP14A	yellow
EPG5	blue
HS1BP3	turquoise
UCHL3	pink
CSAD	pink
MTCP1	brown
VAMP7	pink
POT1	black
C5orf56	blue
NOSIP	blue
MFSD10	blue
UCKL1	brown
METTL16	brown
ANKRD36	brown
LYRM7	black
FNDC3B	turquoise
DUSP11	yellow
ARRDC3-AS1	pink
GSK3A	green
AC016831.5	blue
THAP11	blue
NUDT3	purple
SAMSN1	turquoise
CXorf56	red
SHKBP1	turquoise
ZNF397	brown
SNAP29	turquoise
MGRN1	turquoise
POU2F2	turquoise
DNAJC5	turquoise
NPIPB5	brown
ZNF561	yellow
PMAIP1	turquoise
GTF2IRD2	brown
LINC01409	grey60
MNT	turquoise
RRAGC	red
REXO4	brown
PLSCR3	blue
CBWD5	yellow
EBLN3P	greenyellow
COMMD9	green
ARMC1	magenta
SLC27A4	red
SBF2	turquoise
EVL	brown
TINF2	blue
GBP2	blue
SIMC1	black
AC020916.1	turquoise
KPNA2	blue
FAM219A	brown
AL109824.1	black
COQ7	pink
PHTF1	turquoise
MROH1	turquoise
HSPB1	blue
LENG1	blue
MRPS35	purple
NCAPD3	pink
PPP2CB	green
SPNS1	turquoise
CDKL5	turquoise
ACO1	black
PYGO2	pink
PAIP1	magenta
LZIC	brown
AP4B1	yellow
BARD1	salmon
TAF9	red
SMIM10L1	blue
NAXE	magenta
UBE2A	turquoise
AL049869.3	blue
CYFIP2	brown
SLC35B4	greenyellow
FZR1	brown
CBLB	brown
PIK3R4	blue
ZNF160	brown
TEFM	black
TTC27	blue
RPS6KB2	tan
PRELID1	turquoise
AP002495.1	greenyellow
EFCAB2	turquoise
SLC36A4	turquoise
FBXW5	grey60
PHC2	turquoise
PKD2L2	black
GLRX2	turquoise
TBC1D16	pink
H2AFX	yellow
TESK2	turquoise
SERTAD2	green
AC004951.1	black
WASHC4	turquoise
BRK1	green
SLC25A40	turquoise
FAM241A	blue
AL645568.1	brown
UBE2F	turquoise
ZNF672	turquoise
MPDU1	green
DHRS7	red
TULP2	pink
RUVBL1	brown
FEZ2	turquoise
PTDSS1	green
CBWD2	purple
SEC14L1	turquoise
SRCAP	brown
FRS2	brown
GSKIP	blue
ARL8B	turquoise
ZNRF2	green
RPN2	red
TRIM25	turquoise
ZNF211	blue
FAM214A	brown
MTR	greenyellow
SLC35A5	green
BTD	brown
TCOF1	turquoise
SQOR	purple
NUDT21	midnightblue
TANC2	blue
L3MBTL3	pink
SEC24A	purple
ANKRD26	pink
GIGYF1	brown
POLR3E	blue
RBM38	brown
SENP1	pink
PTPA	turquoise
AGL	brown
AC133550.2	blue
VMP1	turquoise
MPHOSPH6	turquoise
ANKMY2	grey60
TSPYL1	greenyellow
SVBP	green
KLHL42	black
CEP250	brown
UHRF1BP1	turquoise
AMZ2	pink
ZNF581	turquoise
CDIPT	blue
MAML1	black
SRPRA	magenta
TRIM37	blue
TUBD1	yellow
TMLHE	purple
ZADH2	lightgreen
SLC38A6	turquoise
RFWD3	brown
GALC	turquoise
TRMT11	brown
TMEM63B	lightgreen
GOLGA5	yellow
SLC25A24	turquoise
SLC38A2	yellow
RRAGA	red
KLHL7	midnightblue
CRKL	magenta
BTN3A1	yellow
SP2	brown
ALG5	red
FAM193B	blue
AMMECR1L	brown
HDAC6	red
UTP23	brown
SNX3	turquoise
CYP51A1	pink
AGBL5	salmon
SLCO3A1	turquoise
IRF2BPL	brown
ZNF106	turquoise
DHFR	purple
HMOX2	blue
MAP1S	green
CTNNBIP1	turquoise
DPH6	black
TMEM38B	greenyellow
PAK4	pink
FAM98B	brown
RRP1B	brown
C2CD2L	turquoise
